,label,message,clean,warning,hate_ratio,classOG
24758,0,""" fuck no that bitch dont even suck dick ""  the Kermit videos bout to fuck IG up",,This message is clean of hate speech.,0.0,1
24757,0,""" got ya bitch tip toeing on my hardwood floors ""  http://t.co/cOU2WQ5L4q",,This message is clean of hate speech.,0.0,1
24756,0,""" her pussy lips like Heaven doors "" ",,This message is clean of hate speech.,0.0,1
24755,1,""" hoe what its hitting for """,,WARNING: This message may contain some hate speech about a woman.,0.0,1
24754,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" ",,WARNING: This message may contain some hate speech about pejorative word for female.,0.0,1
24753,0,""" i need a trippy bitch who fuck on Hennessy """,,This message is clean of hate speech.,0.0,1
24752,0,""" i spend my money how i want bitch its my business """,,This message is clean of hate speech.,0.0,1
24751,1,""" i txt my old bitch my new bitch pussy wetter """,,WARNING: This message may contain some hate speech about a human female and pejorative word for female.,0.0,1
24750,0,""" i'd say im back to the old me but my old bitches would get excited "" ",,This message is clean of hate speech.,0.0,1
24749,1,""" if you aint bout that Murder Game pussy nigga shut up """,,WARNING: This message may contain some hate speech about a black person and pejorative word for female.,0.0,1
24748,0,""" if you're toes ain't done you pussy stinks """,,This message is clean of hate speech.,0.0,1
24747,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,,WARNING: This message may contain some hate speech about in the uk and a human female.,0.0,1
24746,0,""" is that ya bitch """,,This message is clean of hate speech.,0.0,1
24745,0,""" it aint nothing to cut a bitch off """,,This message is clean of hate speech.,0.0,1
24744,0,""" jus meet son now he ya mane ass bitches "" #Shots",,This message is clean of hate speech.,0.0,1
24743,0,""" lames crying over hoes thats tears of a clown """,,This message is clean of hate speech.,0.0,1
24742,0,""" like Snoop said in 94 we dont love these hoes """,,This message is clean of hate speech.,0.0,1
24741,0,""" momma said no pussy cats inside my doghouse """,,This message is clean of hate speech.,0.0,2
24740,0,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",,This message is clean of hate speech.,0.0,1
24739,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",,WARNING: This message may contain some hate speech about a woman.,0.0,1
24738,0,""" pimps up pimps up hoes down "" Future voice",,This message is clean of hate speech.,0.0,1
24737,0,""" post a picture of that pussy get 200 likes """,,This message is clean of hate speech.,0.0,1
24736,0,""" pussy is a powerful drug ""  #HappyHumpDay http://t.co/R8jsymiB5b",,This message is clean of hate speech.,0.0,1
24735,0,""" quick piece of pussy call it a drive by """,,This message is clean of hate speech.,0.0,1
24734,0,""" running round here like some brand new pussy thats bout to get fucked """,,This message is clean of hate speech.,0.0,1
24733,0,""" these bitches even worst they'll send them guys for you """,,This message is clean of hate speech.,0.0,1
24732,2,""" these hoes like niggas that spend money not talk bout it """,""" these ""woman"" like ""black person"" that spend money not talk bout it "".",WARNING: Parts of this message have been censored due to hate speech.,0.3333333333333333,1
24731,2,""" we dont trust these niggas all these bitches """,""" we dont trust these ""black person"" all these ""human female"" "".",WARNING: Parts of this message have been censored due to hate speech.,0.3333333333333333,1
24730,3,""" yall niggas b cuffing hoes cause yall aint never have bitches """,,"This message has been blocked due to hate speech about a black person, a woman and a human female.",0.0,1
24729,0,""" you dodge a bullet ""  ""All da bitches I cut off pregnant or bound to be ....thank God """,,This message is clean of hate speech.,0.0,1
24728,0,""" young Pill Chamberlain these bitches love my music """,,This message is clean of hate speech.,0.0,1
24727,0,"""Teanna Trump probably cleaner than most of these twitter hoes but.........""",,This message is clean of hate speech.,0.0,1
24726,3,"""Gay niggas couldn't wait to act like bitches tonight""",,"This message has been blocked due to hate speech about a black person, a human female and someone who acts like a homosexual.",0.0,1
24725,0,"""And ima steal his cat n replace it with a pitbull  RT He a bitch you should do it""",,This message is clean of hate speech.,0.0,1
24724,1,""" he's gone always be a hoe""",,WARNING: This message may contain some hate speech about a woman.,0.0,1
24723,0,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",,This message is clean of hate speech.,0.0,1
24722,0,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",,This message is clean of hate speech.,0.0,1
24721,0,"""I probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers"". Retweet",,This message is clean of hate speech.,0.0,1
24720,1,"""I'm a fucking fag they said""",,WARNING: This message may contain some hate speech about a homosexual.,0.0,1
24719,1,"""Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",,WARNING: This message may contain some hate speech about pejorative word for female.,0.0,1
24718,1,"""-SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",,WARNING: This message may contain some hate speech about a disreputable and/or working class person.,0.0,2
24717,1,"""Have ya ever asked your bitch for other bitches - kanye voice"" Yes",,WARNING: This message may contain some hate speech about a human female.,0.0,1
24716,0,"""How u gone bring ur side bitch to a game where You know Ya gf friends at ?! "" I SWEAR!!!!!",,This message is clean of hate speech.,0.0,1
24715,0,"""http://t.co/3gzUpfuMev"" woof woof and hot soles",,This message is clean of hate speech.,0.0,2
24714,1,"""Lemmie eat a Oreo  do these dishes."" One oreo? Lol",,WARNING: This message may contain some hate speech about a person who is black on the outside and white on the inside.,0.0,2
24713,0,"""bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",,This message is clean of hate speech.,0.0,1
24712,1,"""Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",,WARNING: This message may contain some hate speech about a black person and a human female.,0.3333333333333333,1
24711,0,"""Why the eggplant emoji doe?""y he say she looked like scream lmao",,This message is clean of hate speech.,0.0,2
24710,0,"""Hennessey Venom GT  http://t.co/i8eGMnKaJ9"" that's one sexy bitch",,This message is clean of hate speech.,0.0,1
24709,0,"""Him seh me pussy wetter then a shower curtain....#ahmesehwetness""lmao!!",,This message is clean of hate speech.,0.0,1
24708,0,"""#Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",,This message is clean of hate speech.,0.0,1
24707,2,"""Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn","""Yo fuck skateboarding, all y'all some wood pushing ""homosexual"" man, ball is life http://t.co/VBCzP6HMT7"" @AmJemieBenn.",WARNING: Parts of this message have been censored due to hate speech.,0.3333333333333333,1
24706,0,"""baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",,This message is clean of hate speech.,0.0,2
24705,0,""" I ain't shit ."" Damn Skippy lol",,This message is clean of hate speech.,0.0,1
24704,1,"""u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b 30%chance",,WARNING: This message may contain some hate speech about a black person and pejorative word for female.,0.3333333333333333,1
24703,0,"""http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",,This message is clean of hate speech.,0.0,1
24702,1,"""ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",,WARNING: This message may contain some hate speech about a black person.,0.3333333333333333,1
24701,0,"""The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",,This message is clean of hate speech.,0.0,1
24700,5,""" RT Bitches be wanting to act like niggas so bad  that shit aint cuteeeee"" but niggas act like bitches..",,This message has been blocked due to hate speech about a black person and a human female.,0.0,1
24699,0,"""Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",,This message is clean of hate speech.,0.0,1
24698,1,"""Wow. RT I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",,WARNING: This message may contain some hate speech about a woman.,0.3333333333333333,1
24697,0,"""Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",,This message is clean of hate speech.,0.0,1
24696,0,"""queer"" gaywad",,This message is clean of hate speech.,0.6666666666666666,0
24695,2,"""faggot read my tweets after dat k"" it wasn't even funny lol","""homosexual"" read my tweets after dat k"" it wasn't even funny lol.",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
24694,0,"""This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",,This message is clean of hate speech.,0.0,1
24693,0,"""I been kidnapped yo bitch""",,This message is clean of hate speech.,0.0,1
24692,0,"""alsarabsss"" hes a beaner smh you can tell hes a mexican",,This message is clean of hate speech.,1.0,0
24691,0,"""happy birthday nigs"" Thanks yo",,This message is clean of hate speech.,0.3333333333333333,1
24690,0,"""when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",,This message is clean of hate speech.,0.16666666666666666,1
24689,2,"""""that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h","""""that ""black person"" was eating that ""woman"" lol"" Hell Yea lol john Paul"" ""black person"" said john paul.. http://t.co/OSIpBKPr9h.",WARNING: Parts of this message have been censored due to hate speech.,0.3333333333333333,1
24688,0,"""What would y'all lil ugly bald headed bitches do if they stop making make-up  weave?""",,This message is clean of hate speech.,0.0,1
24687,1,"""Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",,WARNING: This message may contain some hate speech about a black person.,0.3333333333333333,1
24686,0,"""Going back to school sucks more dick than the hoes who attend it.""",,This message is clean of hate speech.,0.0,1
24685,0,"""On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",,This message is clean of hate speech.,0.0,1
24684,2,"""how come you never bring me food"" i dont have a car retard","""how come you never bring me food"" i dont have a car ""disabled person"".",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
24683,0,"""If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",,This message is clean of hate speech.,0.0,1
24682,0,"""How bout them Cowboys!!!!"" Shutup pussy",,This message is clean of hate speech.,0.3333333333333333,1
24681,1,"""LMAOOOOOOOOOOO this nigga http://t.co/AAnpSUjmYI"" bitch want likes for some depressing shit..foh",,WARNING: This message may contain some hate speech about a black person and a human female.,0.0,1
24680,1,"""girl you know I was spitting that G shit to you  you was going lbvs""bitch plz",,WARNING: This message may contain some hate speech about a disrespectful and a human female.,0.0,1
24679,0,"""Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",,This message is clean of hate speech.,0.0,1
24678,2,"""Harlem shake is just an excuse to go full retard for 30 seconds.""","""Harlem shake is just an excuse to go full ""disabled person"" for 30 seconds."".",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
24677,1,"""amen miley  http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",,WARNING: This message may contain some hate speech about a woman.,0.0,1
24676,0,"""having one loyal female is wayyyyy better than having hoes , idc """,,This message is clean of hate speech.,0.0,1
24675,1,"""Pussy licking pussy.... meow meow #StopWhitePeople2014  https://t.co/KeegDCjS5K""""""""

",,WARNING: This message may contain some hate speech about pejorative word for female.,0.0,1
24674,2,"""Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands","""Check out our 12th man. #CowboysNation"" even with all those ""homosexual"" ny fans in the stands.",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
24673,1,"""What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",,WARNING: This message may contain some hate speech about a human female.,0.0,1
24672,0,"""im the bitch okay nudes pat "" wow",,This message is clean of hate speech.,0.0,1
24671,1,"""you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",,WARNING: This message may contain some hate speech about a woman and someone who acts like a homosexual.,1.0,0
24670,0,"""The fuck be wrong with these bitches?"" Nobody knows",,This message is clean of hate speech.,0.0,1
24669,0,"""Yall shut up:p"" make me bitch",,This message is clean of hate speech.,0.0,1
24668,0,"""I hate a ""I'm pregnant"" type of bitch.""",,This message is clean of hate speech.,0.3333333333333333,1
24667,0,"""Got bitches in the DM but I don't ever read'em"" which is y your top 3",,This message is clean of hate speech.,0.0,1
24666,0,"""Baseball season for the win. #Yankees"" This is where the love started",,This message is clean of hate speech.,0.0,2
24665,0,"""Little stupid as bitch I don't fuck with yoooooouuuu..""",,This message is clean of hate speech.,0.0,1
24664,0,"""she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",,This message is clean of hate speech.,0.0,1
24663,0,"""I'm an early bird and I'm a night owl, so I'm wise and have worms.""",,This message is clean of hate speech.,0.0,2
24662,0,"""Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",,This message is clean of hate speech.,0.0,2
24661,1,"""Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh

They *are* fairy tale creatures.",,WARNING: This message may contain some hate speech about a homosexual.,0.0,2
24660,1,"""Aw."" ...fag, don't tweet ""aw"" to me lol",,WARNING: This message may contain some hate speech about a homosexual.,0.0,1
24659,0,"""As long as the Lakers trash from now on, I could careless. And that's real."". CC: hahaha",,This message is clean of hate speech.,0.0,2
24658,2,"""I didn't say anything tho"" kiss me then faggot","""I didn't say anything tho"" kiss me then ""homosexual"".",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
24657,0,"""this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR""  yup",,This message is clean of hate speech.,0.0,2
24656,0,"""I could go for a fat ass bitch on my lap"" same",,This message is clean of hate speech.,0.0,1
24655,0,"""17 missed calls!!!! ""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",,This message is clean of hate speech.,0.0,1
24654,0,"""Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao ",,This message is clean of hate speech.,0.0,1
24653,0,"""3 | Amo los pies http://t.co/4QE1hDkK8i"" fuck yeah",,This message is clean of hate speech.,0.0,1
24652,0,"""These hoes be thinking Meat won't slap they ass "" ainna bruh",,This message is clean of hate speech.,0.0,1
24651,0,"""Yall bitches wit no edges be doing the most talking """,,This message is clean of hate speech.,0.0,1
24650,0,"""Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",,This message is clean of hate speech.,0.0,1
24649,0,"""I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",,This message is clean of hate speech.,0.0,1
24648,0,"""If she kiss u with her eyes open watch that bitch!""lmfao",,This message is clean of hate speech.,0.0,1
24647,1,"""You a woulda coulda shoulda ass hoe """,,WARNING: This message may contain some hate speech about a woman.,0.0,1
24646,1,"""Happy Bday Bitch Ass Nigga that bitch roll up!",,WARNING: This message may contain some hate speech about a black person and a human female.,0.0,1
24645,0,"""used to send that bitch up""",,This message is clean of hate speech.,0.0,1
24644,1,"""Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses""",,WARNING: This message may contain some hate speech about a human female.,0.0,1
24643,1,"""nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",,WARNING: This message may contain some hate speech about a black person and a woman.,0.3333333333333333,1
24642,2,"""Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in  outta jail  dumb bitches with mad kids fuckin em.""","""Glad I'm getting outta Atlanta. Nothing but a bunch of ""black person"" in outta jail dumb ""human female"" with mad kids fuckin em."".",WARNING: Parts of this message have been censored due to hate speech.,0.3333333333333333,1
24641,0,"""This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",,This message is clean of hate speech.,0.0,2
24640,1,"""I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",,WARNING: This message may contain some hate speech about a woman.,0.0,1
24639,1,"""Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",,WARNING: This message may contain some hate speech about a woman.,0.0,1
24638,0,"""White boy power bitch"" black power bitch",,This message is clean of hate speech.,0.3333333333333333,1
24637,0,"""Lets get drunk, get blowed, spit shit spark blunts  fuck hoes!"" Bro white dudes have no chill.",,This message is clean of hate speech.,0.0,1
24636,0,"""bitch where u been"" Around the world and back. Where you been?",,This message is clean of hate speech.,0.0,1
24635,0,"""if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off "" *by *",,This message is clean of hate speech.,0.0,1
24634,0,"""#oomf is soooo cute. But he probably has hoes on him a lot.""",,This message is clean of hate speech.,0.0,1
24633,0,"""In every cartoon theirs alway a saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",,This message is clean of hate speech.,0.0,1
24632,1,"""Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",,WARNING: This message may contain some hate speech about a disreputable and/or working class person.,0.0,2
24631,0,"""I wish I was a bitch like my brother keezy "" ooooow I bet you do",,This message is clean of hate speech.,0.0,1
24630,0,"""If you dressed up as a cat for Halloween you are basic."" ...or a pussy",,This message is clean of hate speech.,0.0,1
24629,0,"""Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" get on it Katie3",,This message is clean of hate speech.,0.0,1
24628,2,"""stop being scared to choke her during sex u bitch ass niggas. Shell like it."". Says the guy who hits women out of bed. FOH","""stop being scared to choke her during sex u ""human female"" ass ""black person"" Shell like it."". Says the guy who hits women out of bed. FOH.",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
24627,2,"""ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig","""ha well iguess I make them ""woman"" loyal bro"" theyll never be loyal that y they ""woman"" my ""black person"".",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
24626,1,"""Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",,WARNING: This message may contain some hate speech about a woman.,0.0,1
24625,1,"""You're not a man if you refer to every girl as a bitch""",,WARNING: This message may contain some hate speech about a disrespectful and a human female.,0.0,1
24624,1,"""Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",,WARNING: This message may contain some hate speech about a black person and pejorative word for female.,0.0,1
24623,0,"""Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",,This message is clean of hate speech.,0.0,2
24622,1,"""io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",,WARNING: This message may contain some hate speech about a woman.,0.0,1
24621,1,"""naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",,WARNING: This message may contain some hate speech about a woman.,0.0,1
24620,0,"""Ol dirty foot ass bitches.."" this was too funny to me.",,This message is clean of hate speech.,0.0,1
24619,1,"""that's where I get my yellow flags for being amazing "" HELL YEAH NIGGY",,WARNING: This message may contain some hate speech about a person of asian descent.,0.0,1
24618,0,"""Don't got time for bitches to be actin iffy.""",,This message is clean of hate speech.,0.0,1
24617,0,"""#UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",,This message is clean of hate speech.,0.0,2
24616,0,"""These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh  wonder why nobody decent wants them",,This message is clean of hate speech.,0.0,1
24615,1,"""Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",,"WARNING: This message may contain some hate speech about a disrespectful, a woman and a human female.",0.0,1
24614,1,"""dry pussy bitches always blame it on the condom""",,WARNING: This message may contain some hate speech about a human female and pejorative word for female.,0.0,1
24613,0,"""shut yo bitch ass up! https://t.co/IemN1u0gm5"" ",,This message is clean of hate speech.,0.0,1
24612,0,"""Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",,This message is clean of hate speech.,0.0,1
24611,2,"""You love these hoes more then money wats wrong these niggas""","""You love these ""woman"" more then money wats wrong these ""black person"".",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
24610,0,"""A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",,This message is clean of hate speech.,0.0,1
24609,1,"""Easy cum, easy hoe"" That's a fact !",,WARNING: This message may contain some hate speech about a woman.,0.0,1
24608,1,"""Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",,WARNING: This message may contain some hate speech about a person's ethnicity and a person's nationality.,0.0,1
24607,0,"""Wish I had a bae ""

You got all the hoes tho",,This message is clean of hate speech.,0.0,1
24606,0,"""Fuck twerking bitch can you cook ?""",,This message is clean of hate speech.,0.0,1
24605,0,"""bitch wtf"" http://t.co/DaSmycxODB",,This message is clean of hate speech.,0.0,1
24604,0,"""""Shut up zoe"" fight me pussy for zoe? I'm good, man."" You are good ma'am. Move along now",,This message is clean of hate speech.,0.3333333333333333,1
24603,0,"""Lmao fucking snake bitches"" @ em",,This message is clean of hate speech.,0.0,1
24602,0,"""Big booty hoes everywhere sheesh "" damn ",,This message is clean of hate speech.,0.0,1
24601,0,"""Stay tuned to for an update on the report that 1B will be out 8-10 weeks"" #bum",,This message is clean of hate speech.,0.0,2
24600,0,"""""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW yes lmfao""@soccerboy_04",,This message is clean of hate speech.,0.0,2
24599,0,"""Oregon chokes every year get off the field trash ass program"" RFT",,This message is clean of hate speech.,0.0,1
24598,0,"""Def not cowboy lol RT Terrell Owens was the best Eagle  Cowboy ever"" ..dude cried like a bitch on tv, over Romo",,This message is clean of hate speech.,0.0,1
24597,2,"""LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers","""LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers.",WARNING: Parts of this message have been censored due to hate speech.,1.0,0
24596,0,"""How could u do this to me bitch"" potent",,This message is clean of hate speech.,0.0,1
24595,0,"""http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",,This message is clean of hate speech.,0.0,2
24594,0,"""http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",,This message is clean of hate speech.,0.0,2
24593,0,"""http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.",,This message is clean of hate speech.,0.0,2
24592,0,"""nah fam I gotta cheat with the hoes"" depends on the female i feel",,This message is clean of hate speech.,0.0,1
24591,0,""""" I got hicks lol",,This message is clean of hate speech.,0.0,2
24590,0,"""This new twitter is confusing the shit out of me."" Go back to south america bitch",,This message is clean of hate speech.,0.3333333333333333,1
24589,1,"""Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",,WARNING: This message may contain some hate speech about pejorative word for female.,0.0,1
24588,0,"""but what if he actually does choose the ugly bitch over you? ""Her ass must be fat!",,This message is clean of hate speech.,0.0,1
24587,0,"""bitch couldn't kill my vibe if ya tried. "" dis why i love miley :*",,This message is clean of hate speech.,0.0,1
24586,2,"""I'm tired of bitches saying I look mean.. "" nigga you big af, wear tight shirts, and grim everybody.","""I'm tired of ""human female"" saying I look mean.. "" ""black person"" you big af, wear tight shirts, and grim everybody..",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
24585,0,"""10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",,This message is clean of hate speech.,0.0,2
24584,0,"""""Stay beautiful you bitch""""",,This message is clean of hate speech.,0.0,1
24583,1,"""#WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls",,WARNING: This message may contain some hate speech about a woman.,0.0,1
24582,0,"""Money getting taller and bitches getting blurry""",,This message is clean of hate speech.,0.0,1
24581,1,"""I ain't never seen a bitch so obsessed with they nigga"" I'm obsessed with mine ",,WARNING: This message may contain some hate speech about a black person and a human female.,0.3333333333333333,1
24580,0,"""Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" I meant to do this one. Smh.",,This message is clean of hate speech.,0.0,1
24579,2,"""""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao","""""At least I'm not a ""black person"" http://t.co/RGJa7CfoiT"" Lmfao.",WARNING: Parts of this message have been censored due to hate speech.,0.6666666666666666,0
24578,0,"""People always asking me what I'm mixed with."" She a bad asian bitch lol",,This message is clean of hate speech.,0.0,1
24577,1,"""Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",,WARNING: This message may contain some hate speech about a disabled person.,0.6666666666666666,0
24576,0,"""Fosters home for imaginary trash WHOA CHILL""

that show was everything tf",,This message is clean of hate speech.,0.0,2
24575,1,"""I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",,WARNING: This message may contain some hate speech about a woman.,0.0,1
24574,2,"""Stop bringing weird niggers into my mentions! http://t.co/cussDJesRK""","""Stop bringing weird ""black person"" into my mentions! http://t.co/cussDJesRK"".",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
24573,0,"""We don't love these hoes """,,This message is clean of hate speech.,0.0,1
24572,1,"""If yo girl cant have homeboys you a ol weak bitch ass nigga!""",,"WARNING: This message may contain some hate speech about a disrespectful, a black person and a human female.",0.0,1
24571,0,"""I think worst advice I gave you was "" don't be a pussy and speed up"" lol""",,This message is clean of hate speech.,0.0,1
24570,0,"""Quote this tweet with your favorite animal.""pussy",,This message is clean of hate speech.,0.0,1
