,count,hate_speech,offensive_language,neither,class,tweet
3370,3,2,1,0,0,Move out of our country teabaggers!
3382,3,2,1,0,0,those god damn chinks. 
3398,3,2,1,0,0,#niggerfood #niggerperson #you #are #a #nigger
3400,6,4,2,0,0,ok wat ever u say whitey. u prolly never even seen shaft.
3408,3,2,1,0,0,"im American, don't give 2 shits about the beaners, ship them beaners back"
3411,3,2,1,0,0,y don't that bitch just shoot herself? so sick of all those whores!
3417,3,2,1,0,0,that was so gay. And I was tanning bitch. Juvie made me white
3431,3,2,1,0,0,nigger!!
3449,3,2,1,0,0,it was a joke you fugly bitch be happy uncle snoop even acknowledged your nasty ass lmao
3464,3,2,1,0,0,"Ok u fat precious lookin ass bitch, u big fat back at the barnyard lookin ass bitch. I can fix my grammar but u still fat"
3470,3,2,1,0,0,that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol
3478,3,2,1,0,0,done that spell check we know you meant fat liberal Dyke feminist Nazi bitches
3501,3,2,1,0,0,randies are fags
3503,3,2,1,0,0,just fuckin roasted this faggot
3508,3,2,1,0,0,we should hang out ovenjew. Have a lot in common. People waste time on nigs. Jews r r problem.
3511,3,2,1,0,0,that should read suck on my bacon encrusted middle finger Muslim twats
3525,3,2,1,0,0,*yourself *faggot buy a dictionary
3532,3,2,1,0,0,can always gets da colored folk back in da cage wit da KFC
3538,3,2,1,0,0,nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch
3550,3,2,0,1,0,But...country music listeners really are hicks and alcoholics 
3554,3,2,1,0,0,and fuck you too ya little bitch you look like a Mexican sucking a cock in ur profile
3557,3,2,0,1,0,niger
3563,3,2,1,0,0,what do you want fag
3564,3,2,1,0,0,your a fag
3567,3,2,1,0,0,shut up you stupid bitch
3591,3,2,1,0,0,fag
3597,3,2,1,0,0,faggot
3598,3,2,1,0,0,not funny u faggot
3600,3,2,1,0,0,ur brother looks so queer and ugly
3611,3,2,0,1,0,"I remember his nephew Lucas crying and dan saying ""quit being such a pussy and grow a pair"" or something.  dans so funny."
3634,3,2,1,0,0,good leave you stupid faggot
3635,3,2,1,0,0,"huh, lol mad nigger is mad"
3657,3,2,1,0,0,lmao madonnas music sucks? yeah you're fucking stupid if you think gaga is better. retard
3660,3,2,1,0,0,happy birthday faggot
3664,3,2,1,0,0,"and how am I assume shit 
,hmm cuz u don't know what fuck u talking about crackers these days."
3672,3,2,1,0,0,I guess blaspheme to your Allah is ok if your pos muzzie huh? @Darknight420
3699,3,2,1,0,0,"damn took this dumb spic nearly 2 days to respond, wuz really good tho beaner?"
3700,3,2,1,0,0,"shut yo beaner ass up spic and hop your faggot ass back across the border little nigga, go listen to some pitbull"
3720,3,2,1,0,0,fuck u nigger
3759,3,2,1,0,0,ugly nigger
3778,3,2,1,0,0,"gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy"
3801,3,2,0,1,0,"nahh , whatever you are spook or spic, I still don't like you . Good day"
3805,3,2,1,0,0,so if your 17 and in high school you dont have your own house you fucking faggot
3815,3,2,1,0,0,Because Ian's retarded
3835,3,2,0,1,0,"i got a dyke wit a child as whse mgr, and she jus hired another girlboy dis week...."
3844,3,2,1,0,0,u pulled.that queer shit as spon as u put no homo lol
3860,6,4,2,0,0,"I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard  disperse this trash. @bassem_masri"
3869,7,6,1,0,0,fucking losers wetbacks #SorryNotSorry
3906,3,2,1,0,0,idk you into mouthy spics on welfare with 6 kids and 3 baby daddy's?
3927,3,2,0,1,0, you're a coon
3952,3,2,1,0,0,"Yeah! Me too. My people, the women, laff at the set apart men... they love the real niggas or niggers."
3954,3,2,0,1,0,"They have mix, not all are retards. AAP is Maoists, terrorists,Congies and delusional Retards"
3962,3,2,1,0,0,hey aklve! Im taking out the black ghetto trash. Youre blocked nigger
4030,3,2,1,0,0,you a fag b
4048,3,2,1,0,0,geta Life faggot
4065,3,2,1,0,0,shut your legs hoe
4117,3,2,1,0,0,shut up coon.
4123,3,2,1,0,0,I don't follow you because everything about your company is white trash.
4124,3,2,1,0,0,You really seem to love Sandusky. Weirdo. Ur a creepy ass cracker!
4125,3,2,1,0,0,stop trolling me u creepy ass cracker!!!
4130,3,2,1,0,0,"
She be what we say in da hood white trash"
4131,3,2,0,1,0,"
Yall whitey gots to PAY fo da preparations"
4153,3,2,1,0,0,I wasn't serious bitch  bitch them niggas i named ain't fuccing witcho ass  we all just making shit up 
4156,3,2,1,0,0,I swear to god nigger you better still hang with me before work. You got my hype
4157,3,2,1,0,0,do you work today niglet?
4178,3,2,1,0,0,ugly gay nigga bitch fucking peace of shit
4182,3,2,1,0,0,"fuck you, stupid ass coward ass punk bitch faggot ass racist piece of shit. Punk. Bitch, ain't worth my time!"
4208,3,2,1,0,0,"only one problem theres a ""no pussies allowed"" sorry @kerrythekilla..."
4221,3,2,1,0,0,lmao nigga shoulda said I would be balless bc dat cold bitch wont stop blowin me#swaagg
4231,3,2,1,0,0,"Hey fag, I said this was your aunts. *He* said it was you."
4264,3,2,1,0,0,big fucking deal...cry baby niggers
4273,3,2,0,1,0,what did you search? Gay redneck episode 1 play?
4298,3,2,1,0,0,your getting blocked faggot
4306,3,2,1,0,0,just like a nig to come home when ever they want
4315,3,2,1,0,0,look at this nigger ass nigger shit right here
4325,3,2,1,0,0,niggers*
4338,3,2,1,0,0,yes I'm white washed because I don't go around repping my hood and saying a bunch of ignorant nig terms.
4356,3,2,1,0,0,fuck you fag!
4357,3,2,1,0,0,fuck you niggah you gay. Lol
4378,3,2,1,0,0,it was Paul McCartney faggot
4391,3,2,0,1,0,Screw the ragheads.
4394,3,2,1,0,0,you fuckin Yankees I'll be there in 2 months I'll meet you pussy
4396,3,2,1,0,0,dryer then them bad ass eyes of your fag
4422,3,2,1,0,0,back up faggot
4429,3,2,1,0,0,new york niggas quick to take off on a bitch in public boy lol!!!!!
4438,3,2,1,0,0,Fucking coon
4451,3,2,1,0,0,You retarded bruh lol
4479,3,2,1,0,0,lmaoo what a fag
4512,3,2,1,0,0,fuck those faggots
4514,3,2,1,0,0,i agree my fellow cracker.
4518,3,2,0,1,0,You are full of it! These so called children are not children. They are illegal border jumpers MS!# gang members.
4519,3,2,1,0,0,And the only band that sucked worse live is those fags Guns  Poses.
4527,3,2,1,0,0,"
I likes dat name. Dem sand niggers needs to know dare place in da pecker order"
4528,3,2,1,0,0,"Jesus I would love to do that and more to those muzzie torturers, fucking animal savages"
4534,3,2,1,0,0,I'm not a fag. Gtfo
4552,3,2,1,0,0,no ur wrong stupid nigger
4572,3,2,1,0,0,"lmao, soft ass nigga trying to act all tough, you a little bitch. Sit down and watch from the sidelines pussy."
4585,3,2,1,0,0,faggot sack
4594,3,2,1,0,0,whooooo? Chelsey? Fuck her lol. She juss a bitch
4595,3,2,1,0,0,bruh we can finally roll like rednecks (': ((drug dealers))
4598,3,2,1,0,0,well he's a cunt and he can suck my ass
4609,3,2,0,1,0,why ur profile a one armed nigger?
4615,3,2,1,0,0,"you tell me, coon."
4618,3,2,1,0,0,happy birthday nicca do coon shit in a responsible way.
4645,3,2,0,1,0,I wouldn't be proud that faze is in your family. He's horrible for one and two he's ugly trailer trash... #fazeisgay
4665,3,2,1,0,0,EYE WITNESS: Joel is a faggot
4677,3,2,1,0,0,faggot
4687,3,2,1,0,0,okay closet fag
4698,3,2,1,0,0,ya fag
4701,3,2,0,1,0,Ahmed and retard mikey for special Olympic boxing
4714,3,2,1,0,0,das calld usen yo brain retard y would i whoop yo ass n front of da police
4715,3,2,1,0,0,"i can guarantee a few things: you're white. you've never been anywhere NEAR a real ghetto. you, or a relative is a pig. 100%"
4726,3,2,1,0,0,"at the end of the day, they call yo dumb ass monkey, picka'nanny hoe. But u luv them white devils"
4728,3,2,1,0,0,"will convince u that is a lame, you, a nigger liver believes it cuz you a nigger whore"
4729,3,2,1,0,0,I don't give a flying fuck what a teabagger piece of human garbage like you thinks )
4730,3,2,1,0,0,you are a teabagger scum who wants to threaten people with his penis extender. You are a danger to this country.
4734,3,2,1,0,0,"if only there was a medal for that: ""we hate fags, but we won't kill them"" medal. Thank u for the privilege to let fags live."
4741,3,2,1,0,0,you call house nigger and she's the racist? Fathom the hypocrisy in that statement.
4745,3,2,1,0,0,"...I fuckin' want OUT I'm tired of this bullshit faggot ass, closet racist, wannabe-commune-without-railroad state #Cali"
4760,3,2,1,0,0,is the biggest faggot in the world
4762,3,2,1,0,0,"Just like when I call someone a nigger! It's not because they're black, it's about how they act. LIKE A NIGGER!"
4784,3,2,1,0,0,bye youre a queer
4789,3,2,1,0,0,this is a joke right? You're on here like ugh I wish I was a jap and tweeting in gook and shit and jerkin to hentai.
4812,3,2,1,0,0,u see a lame in that pic ofmine due to your infatuation with niggers. Im Hebrew i fite the children of satan in the streets
4814,3,2,1,0,0,fuck Miley tranny looking now damn ass nigga
4848,3,2,1,0,0,I've been knowing fag
4856,6,4,2,0,0,faggot
4913,3,2,1,0,0,do birds have a 72% out of wedlock rate? is it white fathers that are running away?
4919,3,2,1,0,0,You're a little bitch.
4956,3,2,1,0,0,and are faggots. Kbye.
4959,3,2,1,0,0,"And its people like you that give us all a bad name, you are a disgusting piece of shit of a person a nigger is what you are"
4983,3,2,1,0,0,"say that shit to my face ""Bruh"" you a bitch for gettin in a man u dont know business. Handle yo own shit"
4991,3,2,1,0,0,you are a pussy without your guns bitch as spic. Your daddy doesn't even respect the sperm he drop in your moms stank pussy
5000,3,2,1,0,0,coming to the rescue of some retard licking dirty skidmarks on the internet... you guys are fucktards
5030,3,2,1,0,0,That's actually non-English. Because #okiecops are filthy white trash who are all criminals.
5032,3,2,1,0,0,I thought you would like him cause of the Chi but yeah he a faggot
5058,3,2,1,0,0,its the entire pats bandwagon. Theyre faggots
5072,3,2,1,0,0,studies show that you're a faggot
5088,3,2,1,0,0,only faggots drive stick
5090,3,2,1,0,0,go jerk off to lollis faggot.
5097,3,2,1,0,0,She's a cunt
5099,3,2,0,1,0,kill the coons!!!!!!
5114,3,2,1,0,0,Yeah so you better play with me ya nigger
5120,3,2,1,0,0,fuck your store bitch
5128,3,2,1,0,0,"So you support ""illegals"" coming here and spreading disease among Americans Dream that bitch!"
5158,3,2,1,0,0,fuck outta here faggot that wouldn't even be a fair
5172,3,2,1,0,0,shut the fuck up fag ill beat the shit outta you
5178,3,2,1,0,0,insecure much put all you insults in one tweet. Fucking dumbass dude I'd wreck you you faggot
5212,3,2,1,0,0,I hate that faggot he so corny
5230,3,2,1,0,0,gay fags
5241,3,2,1,0,0,Shit ill pay the premium to get away from these anything ass hoes
5260,3,2,1,0,0,the fuck r u talking about I told u once and am going to tell u against nigga I love white bitch gtf bro
5272,3,2,1,0,0,fags
5274,6,4,2,0,0,fag
5308,3,2,1,0,0,"faggots, old people, people who can't drive, drunk people"
5309,3,2,1,0,0,"fuck Brett Farve redneck ass, he stuckup he don't give a damn lol he be on campus acting like he the shit"
5310,3,2,1,0,0,"you'll make the team, them niggas trash. Lol"
5335,3,2,1,0,0,fags
5350,3,2,1,0,0,"I dont have any problems with zak, but you seem like a faggot "
5358,3,2,1,0,0,he's a faggot
5360,3,2,1,0,0,that's true idk why your even in this convo you dumb nigger attention whore
5362,3,2,1,0,0,lmao you stupid nigger
5367,3,2,1,0,0,hell naw fuck them bitches serves them right
5371,3,2,1,0,0,yea I forgot I was talkin to a degenerate faggot
5381,3,2,1,0,0,faggot
5385,4,3,1,0,0,you're a faggot
5388,3,2,1,0,0,hey fag i 3 you
5392,3,2,1,0,0,"Man bitch am not gonna do a damn thang, if u don't like what I got to say then unfollow me"
5407,3,2,1,0,0,shut up nigger
5417,3,2,1,0,0,Status Report: Making a pit stop in Canada to rape bitches
5442,3,2,0,1,0,"WooHoo! New Black ""Kill Cracker babies"" Panthers to the rescue! #racist #trash #thugs #Ferguson #fergusonriot"
5443,3,2,1,0,0,"""nigger"""
5458,3,2,1,0,0,oh shut your mouth i was talkin about the morning you fag
5485,3,2,1,0,0,"naw dude I wish, they're white trash"
5490,3,2,1,0,0,leave dyke
5505,3,2,1,0,0,you say waste a draft pick on Manziel when we have Mallet. that's why I'm telling you to delete your account. You're retarded
5511,3,2,1,0,0,faggot
5512,3,2,1,0,0,i can give you some of my clothes so you can look like a cute dyke
5513,3,2,1,0,0,chink eyed !
5530,3,2,1,0,0,"May I jump in u ball-less dick-wad? As a conservative, feminist, disabled vet bitch, I wish u luck with a capital F. @DLoesch"
5541,3,2,1,0,0,happy birthday queer
5548,3,2,1,0,0,oh no. They drafted that gay ass that come out on TV? Well u welcome to Redskins nation. No queers just a lot of niggers.
5554,6,4,2,0,0,your 2. And 3. Nigga them hoes suck wayans brothers are not funny at all Jamie foxx should be number 2
5580,3,2,1,0,0,"
Here ya go wetback, eat this.. "
5584,3,2,1,0,0,"Ur pal threat2 ""apostate kufar""""I cld cut ur neck w/sword of islam watch u squeal like a bitch like Daniel Pearl"""
5599,3,2,0,1,0,But that's what you call white trash with money!!!!!
5600,3,2,1,0,0,no ud still be a fag if I was lolz
5601,3,2,1,0,0,ur a fag
5620,3,2,1,0,0,you're a fucking nigger
5622,3,2,1,0,0,like the new AVI. My Twitter is retarded and shows you in the cubs hat but when I stalk your profile it show the new one
5632,3,2,1,0,0,We are being overrun by mongrels because ZOG or the Jews that run our countries want the white man to perish.
5639,3,2,1,0,0,haha bitch ima draw a webb in bullets round yo fuggin forehead #BeamThat bitch i know where you reside
5640,3,2,1,0,0,nah she said you a fag
5671,3,2,1,0,0,this nigga .. know damn well you a coon
5685,3,2,1,0,0,she spelled faggots with an e you're so cool lol
5716,3,2,1,0,0,that nigger music
5728,3,2,1,0,0,this bitch look like a fucking white trash Trailer park queen lookin man bear pig. 
5749,9,5,0,4,0,"AMERICA today, the rule of thumb is: when in doubt, blame ""whitey"""
5754,3,2,1,0,0,you had to throw in the faggot word smh smh smh
5766,3,2,1,0,0,"Youre racist against white people whigger. Anti-Racist is a codeword for anti-white.
Anti-zionist is a codeword for antisemite."
5808,3,2,1,0,0,fuck you faggot
5814,3,2,1,0,0,Yes you do retard.
5821,6,4,2,0,0,how many fuckin fags did a even get? Shouldnt be allowed into my wallet whilst under the influence haha
5829,3,2,1,0,0,a faggot that needs to grow up
5832,3,2,1,0,0,you did a good job doing that to me and not texting back faggot
5836,3,2,1,0,0,you're reading you coon
